Model,Accuracy,F1 Score,AUC-ROC,CV AUC,CV Std,MAE,RMSE,R² Score,Best Model
Random Forest,0.9978,0.9978,1.0,1.0,0.0,0.0048,0.0357,0.9949,★
Stacking Ensemble,0.9976,0.9976,1.0,1.0,0.0,0.0032,0.0433,0.9925,
LightGBM,0.998,0.998,1.0,1.0,0.0,0.0024,0.0396,0.9937,
Voting Ensemble,0.9978,0.9978,1.0,1.0,0.0,0.0038,0.0384,0.9941,
XGBoost,0.9968,0.9968,0.9998,0.9993,0.0004,0.0043,0.0466,0.9913,
Decision Tree,0.9975,0.9975,0.9992,0.9995,0.0003,0.0025,0.0431,0.9926,
Logistic Regression,0.9831,0.9833,0.9991,0.9982,0.0005,0.0324,0.1158,0.9464,
